edge,p_value,Gene1,Gene2
NIT1+SEC24D,7.447170875483126e-06,NIT1,SEC24D
LCK+SLA2,7.58630762482634e-06,LCK,SLA2
RPL18A+WDR31,7.637453580979272e-06,RPL18A,WDR31
BRIX1+ESF1,7.667050136883612e-06,BRIX1,ESF1
LHX2+RLIM,7.719071454171868e-06,LHX2,RLIM
RLIM+UBA52,7.759245472978698e-06,RLIM,UBA52
MRPL11+RPL10,7.763588188803819e-06,MRPL11,RPL10
DHX9+PRPF8,7.854979697765141e-06,DHX9,PRPF8
BTF3+RPL28,7.899340290003576e-06,BTF3,RPL28
MRPL11+RPLP0,8.034995607426368e-06,MRPL11,RPLP0
MYB+POLR2I,8.080583508934487e-06,MYB,POLR2I
NXF1+THOC5,8.085368525089329e-06,NXF1,THOC5
CENPF+TROAP,8.090520137698238e-06,CENPF,TROAP
KDR+MAP1LC3B2,8.092931465156705e-06,KDR,MAP1LC3B2
MRPL11+UBA52,8.142617927575318e-06,MRPL11,UBA52
PRKCZ+RAF1,8.150353175783129e-06,PRKCZ,RAF1
BYSL+TRMT6,8.172005199041207e-06,BYSL,TRMT6
CUL1+FBXW5,8.179151742111078e-06,CUL1,FBXW5
CAP1+PHLPP1,8.189874023637953e-06,CAP1,PHLPP1
PSMC1+RPS24,8.222740903388583e-06,PSMC1,RPS24
EIF3I+WDR31,8.297813111553154e-06,EIF3I,WDR31
HNRNPR+RPS20,8.344048113544695e-06,HNRNPR,RPS20
CCNB1+RASGRF1,8.351098980881385e-06,CCNB1,RASGRF1
PTTG1+SKA3,8.36285558719257e-06,PTTG1,SKA3
MCMDC2+TIPIN,8.575747863672437e-06,MCMDC2,TIPIN
CDK7+TAF7,8.645637445759476e-06,CDK7,TAF7
DDX20+DICER1,8.649650132101347e-06,DDX20,DICER1
NUMB+PARD6A,8.711781630494404e-06,NUMB,PARD6A
FGF20+KDR,8.79604315414945e-06,FGF20,KDR
MRPL11+RPL8,8.808628565970101e-06,MRPL11,RPL8
CTNNB1+ITGB1,8.8725495991404e-06,CTNNB1,ITGB1
RPS5+WDR31,9.004514266209804e-06,RPS5,WDR31
MINPP1+PLCB1,9.010441961362776e-06,MINPP1,PLCB1
RGS20+RGS9,9.193795419538949e-06,RGS20,RGS9
COX6A2+SDHC,9.207588966939718e-06,COX6A2,SDHC
SHISA3+SHISA6,9.212997265479152e-06,SHISA3,SHISA6
RLIM+UBB,9.285425086731769e-06,RLIM,UBB
MRPL11+RPS19,9.301013436765168e-06,MRPL11,RPS19
HAO1+IDE,9.338782435015988e-06,HAO1,IDE
HNRNPR+SNRNP70,9.361710620091944e-06,HNRNPR,SNRNP70
AGXT2+GCLC,9.44131775807377e-06,AGXT2,GCLC
MRPL11+RPL36AL,9.614028168332916e-06,MRPL11,RPL36AL
RPL22L1+WDR31,9.635856133665357e-06,RPL22L1,WDR31
GNL3+TFB2M,9.648581724174438e-06,GNL3,TFB2M
CACNA1G+CACNA1I,9.65035753568246e-06,CACNA1G,CACNA1I
DDX20+SNRNP70,9.745000569594148e-06,DDX20,SNRNP70
EDAR+PAX9,9.781085608700706e-06,EDAR,PAX9
GDPD3+SEZ6L2,9.871862992359004e-06,GDPD3,SEZ6L2
CNIH1+GSG1L,9.890685018008484e-06,CNIH1,GSG1L
KIF11+PCNA,9.91744762550794e-06,KIF11,PCNA
IL4I1+MAT2B,1.008434388738192e-05,IL4I1,MAT2B
PSMC1+RPS19,1.0093498508512015e-05,PSMC1,RPS19
NEU2+SVOPL,1.0156074922160988e-05,NEU2,SVOPL
MRPL11+RPL19,1.0233576129639029e-05,MRPL11,RPL19
RSL1D1+TRUB2,1.0482095986700952e-05,RSL1D1,TRUB2
PRKAR1B+PXN,1.0745534671719625e-05,PRKAR1B,PXN
PROC+PROS1,1.0806246433055258e-05,PROC,PROS1
MYBPH+TLR2,1.086777916416726e-05,MYBPH,TLR2
UBE2U+UBE2V2,1.094969954165938e-05,UBE2U,UBE2V2
AMHR2+GDF6,1.1006659420645134e-05,AMHR2,GDF6
MRPL11+RPS20,1.1024942587205946e-05,MRPL11,RPS20
CCND1+PSMC1,1.1074716663149084e-05,CCND1,PSMC1
TBC1D15+TPH2,1.1175195340376443e-05,TBC1D15,TPH2
MRPL11+RPS14,1.1271894233566252e-05,MRPL11,RPS14
COPB2+SEC24D,1.1289097874422302e-05,COPB2,SEC24D
FN1+TUBB4A,1.1334158448752984e-05,FN1,TUBB4A
MOK+ZNF239,1.140750878269132e-05,MOK,ZNF239
TAF12+TAF1L,1.1522928119024829e-05,TAF12,TAF1L
BAG6+RNF126,1.1589022747057588e-05,BAG6,RNF126
HSP90AA1+KIAA1109,1.1628098549058646e-05,HSP90AA1,KIAA1109
DDX20+SNRPB,1.188077882258727e-05,DDX20,SNRPB
CDK1+SMC1A,1.188078089974548e-05,CDK1,SMC1A
RAD51C+TOPBP1,1.1975161119165223e-05,RAD51C,TOPBP1
COX10+CYC1,1.1982660468934006e-05,COX10,CYC1
CCND1+GATA3,1.2252032728249327e-05,CCND1,GATA3
DDX20+FOXL2,1.2264046171499292e-05,DDX20,FOXL2
CBL+RAP1B,1.234922486547332e-05,CBL,RAP1B
HNRNPR+HNRNPU,1.239989284775793e-05,HNRNPR,HNRNPU
RPS23+WDR31,1.2431753892817295e-05,RPS23,WDR31
DDX20+SNRPE,1.2565434879136566e-05,DDX20,SNRPE
KIT+MATK,1.260683534569515e-05,KIT,MATK
LSM6+PPP1R42,1.2800817654276318e-05,LSM6,PPP1R42
MPHOSPH10+NMD3,1.2874495737767e-05,MPHOSPH10,NMD3
MRPL11+RPL37A,1.290827758591167e-05,MRPL11,RPL37A
MAGOH+SAP18,1.2969251425215797e-05,MAGOH,SAP18
PSMC1+RPL8,1.3020482505928237e-05,PSMC1,RPL8
PRKACG+SLC8A2,1.322810522619998e-05,PRKACG,SLC8A2
PRPF3+SF3B5,1.3235348337809883e-05,PRPF3,SF3B5
TAF12+TAF4,1.341376206401653e-05,TAF12,TAF4
CPB1+PLG,1.3439747381856652e-05,CPB1,PLG
ARC+JUND,1.345790971078108e-05,ARC,JUND
CNGA2+CNGA4,1.360210373395462e-05,CNGA2,CNGA4
POLR2C+POLR2I,1.367539316160658e-05,POLR2C,POLR2I
HNRNPK+RBM42,1.3677082347705076e-05,HNRNPK,RBM42
LCN1+SCGB1A1,1.3809682904066246e-05,LCN1,SCGB1A1
PPP2R5C+WNT3A,1.3847943722791357e-05,PPP2R5C,WNT3A
NMD3+WDR12,1.3873266583713086e-05,NMD3,WDR12
DOT1L+SETD7,1.3914073051802516e-05,DOT1L,SETD7
CEP135+TUBG1,1.395179298760637e-05,CEP135,TUBG1
PPAT+PRPS2,1.3958462519150862e-05,PPAT,PRPS2
GEMIN5+NUP37,1.4130767722022902e-05,GEMIN5,NUP37
RBM28+TTC27,1.41955521066648e-05,RBM28,TTC27
KIF14+TOP2A,1.4217196497584564e-05,KIF14,TOP2A
UBE2Q1+UBE2V2,1.4317389394253431e-05,UBE2Q1,UBE2V2
RAD51+RFC1,1.4351266024310684e-05,RAD51,RFC1
ERCC1+PNKP,1.4395410995870866e-05,ERCC1,PNKP
NFATC1+PRKACB,1.442684419038861e-05,NFATC1,PRKACB
C4A+PROS1,1.4513236805355218e-05,C4A,PROS1
NFATC1+STAT3,1.4567172424822116e-05,NFATC1,STAT3
PHIP+TBC1D30,1.4571973026668482e-05,PHIP,TBC1D30
ACTN2+NRAS,1.4652772157739252e-05,ACTN2,NRAS
CPSF3+SNRPF,1.4668693071865402e-05,CPSF3,SNRPF
MERTK+TULP1,1.468092529161036e-05,MERTK,TULP1
CUL1+FBXO46,1.4747070759846609e-05,CUL1,FBXO46
MRPL11+RPL21,1.4859654637570538e-05,MRPL11,RPL21
DDX58+NLRX1,1.5167678274148638e-05,DDX58,NLRX1
CDT1+MCM3,1.5195056691290123e-05,CDT1,MCM3
CDCA3+FOXM1,1.5312007668281248e-05,CDCA3,FOXM1
CD86+IL1R2,1.533444662215106e-05,CD86,IL1R2
ADAMTS8+THSD1,1.5475209771792706e-05,ADAMTS8,THSD1
PSMC1+UBC,1.5658690400666536e-05,PSMC1,UBC
PIEZO1+STOML3,1.5729868061858575e-05,PIEZO1,STOML3
CTNNA1+FGFR1,1.5867606299258617e-05,CTNNA1,FGFR1
DYNC1H1+KIF11,1.5921519002371274e-05,DYNC1H1,KIF11
BID+CAPN2,1.6048365010446977e-05,BID,CAPN2
CDC40+TCERG1,1.614872876284642e-05,CDC40,TCERG1
STT3B+TMED10,1.6257866836456314e-05,STT3B,TMED10
PSMC1+UBB,1.6485655041355585e-05,PSMC1,UBB
RPL18+RPL28,1.6794530844869444e-05,RPL18,RPL28
TRAPPC11+TRAPPC2,1.698522209273804e-05,TRAPPC11,TRAPPC2
AMFR+HSPA5,1.703356729282016e-05,AMFR,HSPA5
GATA2+LYL1,1.722353757050778e-05,GATA2,LYL1
ARC+EGR1,1.7258194063997317e-05,ARC,EGR1
ATG10+ATG3,1.755541027541516e-05,ATG10,ATG3
PCGF6+UBAP2L,1.7663677087409953e-05,PCGF6,UBAP2L
MRPL47+MRPL51,1.7822709223211616e-05,MRPL47,MRPL51
ATP2B3+SLC8A2,1.799541764244738e-05,ATP2B3,SLC8A2
C8G+C9,1.803393403357885e-05,C8G,C9
PAXIP1+SUZ12,1.8074710136859795e-05,PAXIP1,SUZ12
NDUFC1+NDUFS5,1.833576817834867e-05,NDUFC1,NDUFS5
CKS2+PLK1,1.843033382302883e-05,CKS2,PLK1
MRPL11+RPL18A,1.8436490373099637e-05,MRPL11,RPL18A
DDX20+NUP153,1.856333690284204e-05,DDX20,NUP153
RAD51B+RFC3,1.860274714069765e-05,RAD51B,RFC3
CSPG5+DSEL,1.866905493604548e-05,CSPG5,DSEL
GFI1B+MEGF8,1.8671357671563135e-05,GFI1B,MEGF8
EEF1A1+RPL13,1.8684091615520687e-05,EEF1A1,RPL13
COX10+COX7C,1.8782541257306597e-05,COX10,COX7C
GIPR+POMC,1.8796639749350467e-05,GIPR,POMC
LAMA1+PAK4,1.87996835508019e-05,LAMA1,PAK4
GOLGA1+GOLGB1,1.882853924910347e-05,GOLGA1,GOLGB1
CHMP4C+MAP1LC3C,1.919844656681807e-05,CHMP4C,MAP1LC3C
ATP1B1+NKAIN1,1.920818316304654e-05,ATP1B1,NKAIN1
CNGB3+ELOVL4,1.92096001694828e-05,CNGB3,ELOVL4
DDX20+STRAP,1.9289446741858873e-05,DDX20,STRAP
FOXM1+NEK2,1.9360590686750487e-05,FOXM1,NEK2
DDX20+NCBP2,1.9524385775378115e-05,DDX20,NCBP2
CUL1+FBXW11,1.957138820974997e-05,CUL1,FBXW11
RAF1+SHOC2,1.965718524581741e-05,RAF1,SHOC2
RAF1+YWHAQ,1.9699324107001968e-05,RAF1,YWHAQ
GCKR+NDC1,1.9837942688022193e-05,GCKR,NDC1
AK4+NT5M,1.986839264618287e-05,AK4,NT5M
ACAD9+ACSF3,2.002012756971308e-05,ACAD9,ACSF3
CCNB3+MCM6,2.0088773106068386e-05,CCNB3,MCM6
IQGAP1+RAF1,2.00987534013778e-05,IQGAP1,RAF1
TFB2M+WDR46,2.0147342901768587e-05,TFB2M,WDR46
CHEK2+PPM1D,2.029353060485113e-05,CHEK2,PPM1D
TXNDC2+TXNRD1,2.034858772638143e-05,TXNDC2,TXNRD1
TWIST1+WDR5,2.0394316224745128e-05,TWIST1,WDR5
AMFR+SEL1L,2.0447361367628325e-05,AMFR,SEL1L
CCDC22+CUL5,2.047055219410354e-05,CCDC22,CUL5
GOLGA1+RAB6A,2.0580150811993745e-05,GOLGA1,RAB6A
CALR+HNRNPR,2.074320967950579e-05,CALR,HNRNPR
AR+DCAF6,2.083996239653045e-05,AR,DCAF6
C2CD4C+DLGAP3,2.0889885464479895e-05,C2CD4C,DLGAP3
F2+PROS1,2.095135511269111e-05,F2,PROS1
RPL7A+SURF1,2.1112686462603616e-05,RPL7A,SURF1
DGAT1+DGAT2,2.1135006780613404e-05,DGAT1,DGAT2
RAD17+XRCC2,2.1225173825321745e-05,RAD17,XRCC2
DDX20+RBL2,2.122854996152068e-05,DDX20,RBL2
FANCA+SPTAN1,2.139946839812936e-05,FANCA,SPTAN1
POLR2I+RTF1,2.153021925211134e-05,POLR2I,RTF1
DCTN1+KLC2,2.1572561773235897e-05,DCTN1,KLC2
RAF1+UBA52,2.1595354280682457e-05,RAF1,UBA52
MAGOHB+NUP160,2.167051973863541e-05,MAGOHB,NUP160
MRPL11+RPS23,2.1844325473564888e-05,MRPL11,RPS23
HSP90AA1+RAF1,2.2050691897756578e-05,HSP90AA1,RAF1
CAV3+SGCB,2.2364848842553614e-05,CAV3,SGCB
IKZF3+PAX5,2.2390813514719284e-05,IKZF3,PAX5
ASH2L+PYGO2,2.2398773442159888e-05,ASH2L,PYGO2
DDX20+SNUPN,2.26425010983721e-05,DDX20,SNUPN
MAPT+PIN1,2.292409528068869e-05,MAPT,PIN1
GATA3+SPI1,2.292824605940529e-05,GATA3,SPI1
PLD4+PTDSS2,2.296709460893722e-05,PLD4,PTDSS2
PLA2G15+PNPLA7,2.3317618864792888e-05,PLA2G15,PNPLA7
IDE+LONP2,2.347753307882933e-05,IDE,LONP2
DDX58+RNF135,2.3536539019154384e-05,DDX58,RNF135
EXOSC4+EXOSC8,2.3571680097327635e-05,EXOSC4,EXOSC8
DNAJB13+HSPA1A,2.3584718845025537e-05,DNAJB13,HSPA1A
POLE3+RFC1,2.376715753438869e-05,POLE3,RFC1
GSPT1+SMG9,2.416847292197302e-05,GSPT1,SMG9
AR+PRKACA,2.4325988402076583e-05,AR,PRKACA
DSEL+TTBK1,2.4444021739032024e-05,DSEL,TTBK1
F2+RAF1,2.4476973977932778e-05,F2,RAF1
CDC14A+PLK1,2.4565028019572708e-05,CDC14A,PLK1
TPX2+UBE2C,2.4569094824445623e-05,TPX2,UBE2C
ADRB2+NPY,2.4615382756585928e-05,ADRB2,NPY
DLGAP5+KIF23,2.462614462720292e-05,DLGAP5,KIF23
PPP2R1A+RAF1,2.4632276079016172e-05,PPP2R1A,RAF1
CELSR3+VANGL2,2.477022581256999e-05,CELSR3,VANGL2
F2+PROC,2.4774583136039253e-05,F2,PROC
GLRX3+ISCA2,2.4854540158890225e-05,GLRX3,ISCA2
EOGT+OGT,2.496921171187728e-05,EOGT,OGT
AP1G1+BBS7,2.506083539506022e-05,AP1G1,BBS7
FKBP6+PIN1,2.51753308432783e-05,FKBP6,PIN1
KIF14+KIF18A,2.5285286955824943e-05,KIF14,KIF18A
AR+NCOA1,2.5286566291398893e-05,AR,NCOA1
SNAP47+STX12,2.5405469185561793e-05,SNAP47,STX12
PIN1+TP73,2.551095301972964e-05,PIN1,TP73
MYOZ1+TNNI2,2.552474472185015e-05,MYOZ1,TNNI2
HENMT1+PNLDC1,2.5580567640949323e-05,HENMT1,PNLDC1
DTL+PLK4,2.5627717369826977e-05,DTL,PLK4
BCCIP+NHP2,2.5730614239409047e-05,BCCIP,NHP2
MDN1+PDCD11,2.5942644775103172e-05,MDN1,PDCD11
IPO5+RANBP2,2.6009526181197105e-05,IPO5,RANBP2
NSD1+PLOD1,2.6019710151725863e-05,NSD1,PLOD1
THOC2+THOC5,2.62186611524225e-05,THOC2,THOC5
MCMDC2+RFC3,2.627737049317615e-05,MCMDC2,RFC3
COX6C+SDHC,2.6404453912661527e-05,COX6C,SDHC
FPR1+STAT3,2.640721348577086e-05,FPR1,STAT3
SPTBN1+SPTBN4,2.6752045129275277e-05,SPTBN1,SPTBN4
CALML5+PHKA1,2.6756309093121296e-05,CALML5,PHKA1
GPS1+MCRS1,2.6767723430716465e-05,GPS1,MCRS1
RNF113A+SNRNP200,2.6779634913395143e-05,RNF113A,SNRNP200
PSMC1+RPL18A,2.6836914828080723e-05,PSMC1,RPL18A
BMPR2+GDF6,2.7140379254058975e-05,BMPR2,GDF6
KCMF1+UBE2A,2.7336197017909105e-05,KCMF1,UBE2A
ANLN+KIF14,2.7336838067645155e-05,ANLN,KIF14
HSPA4+RAF1,2.7337300588637768e-05,HSPA4,RAF1
GLI3+PRKACA,2.7397409805180257e-05,GLI3,PRKACA
EDAR+SLC24A5,2.7427263365477023e-05,EDAR,SLC24A5
GCKR+RANBP2,2.759479985035246e-05,GCKR,RANBP2
RPL10L+RPS24,2.767684955309662e-05,RPL10L,RPS24
HJURP+KIF14,2.776440594545607e-05,HJURP,KIF14
SEC23IP+ZNF668,2.7784978178852188e-05,SEC23IP,ZNF668
PSMC1+RBL2,2.8273772531371524e-05,PSMC1,RBL2
GCKR+NUP107,2.834114081924443e-05,GCKR,NUP107
CA8+CYP24A1,2.8571737757238057e-05,CA8,CYP24A1
PKMYT1+PRMT5,2.8672289974464067e-05,PKMYT1,PRMT5
MRPL11+RPS5,2.86956527733511e-05,MRPL11,RPS5
MCFD2+SEC24D,2.9075462626123565e-05,MCFD2,SEC24D
GCKR+NUP35,2.9085482928278103e-05,GCKR,NUP35
DDX20+NUP98,2.917900652175888e-05,DDX20,NUP98
RPL13+RPL19,2.9552373042152115e-05,RPL13,RPL19
ATP6V0D1+C12orf66,2.9660086626819024e-05,ATP6V0D1,C12orf66
DEAF1+XRCC6,2.9760124916171584e-05,DEAF1,XRCC6
KCNQ3+SPTAN1,2.984895278365504e-05,KCNQ3,SPTAN1
HDAC2+MTA3,3.007745008420842e-05,HDAC2,MTA3
SHOC2+WDR82,3.0148583081673263e-05,SHOC2,WDR82
EXOSC2+FBL,3.0272245245194535e-05,EXOSC2,FBL
DDX58+NOD2,3.0355169879678467e-05,DDX58,NOD2
FAM120B+RXRA,3.0406252056302893e-05,FAM120B,RXRA
B3GALT4+WDR46,3.0429131641552578e-05,B3GALT4,WDR46
GTF2F2+SUPT16H,3.070000137614335e-05,GTF2F2,SUPT16H
CC2D2A+NPHP1,3.087661981405619e-05,CC2D2A,NPHP1
CHRNA6+JAK2,3.090760615363222e-05,CHRNA6,JAK2
APEX1+RFC3,3.0978665342096725e-05,APEX1,RFC3
PSMC1+PSMC3,3.101184209826677e-05,PSMC1,PSMC3
FAM83A+RAF1,3.1577750887474824e-05,FAM83A,RAF1
PPP1R15A+RGMA,3.263282826132557e-05,PPP1R15A,RGMA
SMIM15+SREK1IP1,3.269223717442346e-05,SMIM15,SREK1IP1
CHUK+TNFRSF4,3.2793668786034395e-05,CHUK,TNFRSF4
PLK1+TK1,3.291982645183507e-05,PLK1,TK1
DHX16+MAGOHB,3.3046176706551445e-05,DHX16,MAGOHB
FTSJ3+GPATCH4,3.34402148557141e-05,FTSJ3,GPATCH4
F2+PRKAR1B,3.3505566513329695e-05,F2,PRKAR1B
ITGB1+PRKAR1B,3.3576266399133234e-05,ITGB1,PRKAR1B
MLC1+PRKAR1B,3.3803718854295386e-05,MLC1,PRKAR1B
GTPBP4+ZNF622,3.381862909338925e-05,GTPBP4,ZNF622
APP+PICALM,3.390580685817191e-05,APP,PICALM
LSM5+SF3B2,3.3912984286371494e-05,LSM5,SF3B2
OGT+PIK3CD,3.3921051164884926e-05,OGT,PIK3CD
KIR3DL1+PTPN6,3.395776829638155e-05,KIR3DL1,PTPN6
GATA3+IL17A,3.431040953583802e-05,GATA3,IL17A
HNRNPK+RCC1,3.453894388727715e-05,HNRNPK,RCC1
ARCN1+RINT1,3.463959662549232e-05,ARCN1,RINT1
CENPA+TYMS,3.464261766243903e-05,CENPA,TYMS
MTA3+RBBP4,3.4832749807724124e-05,MTA3,RBBP4
CENPF+KIF15,3.494815569690939e-05,CENPF,KIF15
PRKACG+PRKAR1B,3.5021189027527554e-05,PRKACG,PRKAR1B
HNRNPR+PCBP2,3.504180652911426e-05,HNRNPR,PCBP2
KIF14+MKI67,3.504714909606883e-05,KIF14,MKI67
HSPA8+RAF1,3.519408474711455e-05,HSPA8,RAF1
ADCY8+PRKAR1B,3.528504033106136e-05,ADCY8,PRKAR1B
CCNA1+KIF11,3.547378941480576e-05,CCNA1,KIF11
SLC35B1+TM9SF4,3.580294747999495e-05,SLC35B1,TM9SF4
PLK1+RAB1A,3.608026098056094e-05,PLK1,RAB1A
ADCY8+PDE1B,3.6371657901315445e-05,ADCY8,PDE1B
JAK1+PIK3CA,3.6410966930502e-05,JAK1,PIK3CA
CDC42+EXOC3,3.64338038939973e-05,CDC42,EXOC3
EXOSC2+RRP7A,3.646118703465704e-05,EXOSC2,RRP7A
KAT5+RAD9A,3.647495201976605e-05,KAT5,RAD9A
RAF1+UBC,3.669846117787732e-05,RAF1,UBC
RPL18+WDR31,3.6979312158097744e-05,RPL18,WDR31
TBX18+TLE3,3.75549050838989e-05,TBX18,TLE3
MRPL47+RPS15,3.772688904178711e-05,MRPL47,RPS15
POLR3F+TBP,3.78719603549615e-05,POLR3F,TBP
ANLN+MAD2L1,3.798310804877082e-05,ANLN,MAD2L1
IFI44L+SP110,3.860915713537237e-05,IFI44L,SP110
ACTRT3+LRRC34,3.862788333423823e-05,ACTRT3,LRRC34
ABT1+WDR46,3.864539511358606e-05,ABT1,WDR46
FAHD1+SDHC,3.864798826132068e-05,FAHD1,SDHC
TAF5L+TAF7L,3.8720572699428186e-05,TAF5L,TAF7L
PLCB1+PLCD3,3.892709800846888e-05,PLCB1,PLCD3
RAF1+UBB,3.947665255383858e-05,RAF1,UBB
NFKBIA+PSMC1,3.984910596862527e-05,NFKBIA,PSMC1
GRIA1+SCFD1,4.034915102605193e-05,GRIA1,SCFD1
APOOL+MFN1,4.05822391187765e-05,APOOL,MFN1
CTNNB1+CUL1,4.13658137046329e-05,CTNNB1,CUL1
RAD1+TOPBP1,4.13789089590906e-05,RAD1,TOPBP1
RPL19+RPS24,4.1786243835584715e-05,RPL19,RPS24
CDC37+RAF1,4.1867708949873976e-05,CDC37,RAF1
PPP4R4+WDR82,4.193766307435689e-05,PPP4R4,WDR82
BIRC5+RAD54L,4.2013299536649776e-05,BIRC5,RAD54L
ADAMTS15+THSD1,4.2312527593613624e-05,ADAMTS15,THSD1
HSPA13+LIPI,4.2611563235993465e-05,HSPA13,LIPI
SLC38A7+YIPF2,4.297640483794586e-05,SLC38A7,YIPF2
FKBP6+HENMT1,4.309452077987843e-05,FKBP6,HENMT1
IDE+NUDT7,4.319040317509827e-05,IDE,NUDT7
COX10+COX6B1,4.3562710564849867e-05,COX10,COX6B1
LSM4+SNRPB,4.386571172468974e-05,LSM4,SNRPB
HSP90AB1+RAF1,4.399964295605763e-05,HSP90AB1,RAF1
RPL11+RPS24,4.401745094438654e-05,RPL11,RPS24
MPI+PFKFB3,4.439237624208115e-05,MPI,PFKFB3
ADCY10+PDE1B,4.450230907525824e-05,ADCY10,PDE1B
RPS18+RPS24,4.4574221574663935e-05,RPS18,RPS24
USE1+VAMP7,4.463642493591155e-05,USE1,VAMP7
PRKACG+RAF1,4.482136939325613e-05,PRKACG,RAF1
TRPC1+TRPC3,4.487604564148784e-05,TRPC1,TRPC3
CDCA3+CKAP2,4.54752484113959e-05,CDCA3,CKAP2
CLIP1+DNAH1,4.5571094275519555e-05,CLIP1,DNAH1
CFTR+PRKAR1B,4.562287543726623e-05,CFTR,PRKAR1B
CMPK2+NME7,4.597525144224347e-05,CMPK2,NME7
DBI+UBE2V2,4.663728200886381e-05,DBI,UBE2V2
TAF6+TP53,4.67693318703351e-05,TAF6,TP53
PIN1+YWHAQ,4.714693812815077e-05,PIN1,YWHAQ
MELK+SKA3,4.7220694375717304e-05,MELK,SKA3
GPATCH4+WDR46,4.7869683890153606e-05,GPATCH4,WDR46
ARC+FOS,4.83617513478442e-05,ARC,FOS
GNAS+MAGED2,4.840441739196857e-05,GNAS,MAGED2
KRAS+NTRK3,4.846525096957019e-05,KRAS,NTRK3
CDT1+MCM6,4.853269752329145e-05,CDT1,MCM6
CLDN6+ESAM,4.871981343401961e-05,CLDN6,ESAM
KIF11+MCM7,4.8811768197288405e-05,KIF11,MCM7
FOS+GATA3,4.893605335753509e-05,FOS,GATA3
PRKACG+SP1,4.895996045954874e-05,PRKACG,SP1
ACTA1+CFL2,4.9380767412962385e-05,ACTA1,CFL2
PLK1+UBE2C,5.005359783705015e-05,PLK1,UBE2C
KDSR+SGPP1,5.082501076015297e-05,KDSR,SGPP1
RPL28+RPS5,5.0859835928116755e-05,RPL28,RPS5
ISG20+MX1,5.1603009928673207e-05,ISG20,MX1
MTERF4+TFB1M,5.202955425616822e-05,MTERF4,TFB1M
BUB1+CDC16,5.261924025105888e-05,BUB1,CDC16
EED+PAXIP1,5.2661788891999885e-05,EED,PAXIP1
KPNB1+NFATC1,5.2883659879360953e-05,KPNB1,NFATC1
RRP1+RRP9,5.311375360673456e-05,RRP1,RRP9
DDX20+SEC13,5.3177520161141023e-05,DDX20,SEC13
CASP7+MAPT,5.318383989472475e-05,CASP7,MAPT
MPHOSPH10+RPS19,5.340901953365559e-05,MPHOSPH10,RPS19
CDCA8+KIF14,5.3455580125299e-05,CDCA8,KIF14
RPL10+RPL13,5.3524645892441817e-05,RPL10,RPL13
GART+PPAT,5.372613766508913e-05,GART,PPAT
EEF1A1+RPS24,5.3864515899849145e-05,EEF1A1,RPS24
APOH+ITIH2,5.4008521399748865e-05,APOH,ITIH2
BNIP1+NSF,5.443395829904128e-05,BNIP1,NSF
SEC24D+UROC1,5.4882045695123894e-05,SEC24D,UROC1
CDS2+DGKB,5.5022866881543257e-05,CDS2,DGKB
MAP2K6+MAP3K9,5.5136829989556245e-05,MAP2K6,MAP3K9
ESR2+GNAS,5.536606713955514e-05,ESR2,GNAS
MCM7+TIPIN,5.549136883704996e-05,MCM7,TIPIN
HSPA12B+HSPA8,5.569068290220365e-05,HSPA12B,HSPA8
HIF3A+UBE2D3,5.576002514905518e-05,HIF3A,UBE2D3
ARC+GRIN1,5.610372438157915e-05,ARC,GRIN1
EIF3A+MTIF2,5.622723522237923e-05,EIF3A,MTIF2
EIF4E2+EIF4G3,5.630510402419555e-05,EIF4E2,EIF4G3
MLH1+RAD51,5.653284635539869e-05,MLH1,RAD51
ACTN4+INF2,5.6607948211493205e-05,ACTN4,INF2
WNT7A+WNT8B,5.664285841604414e-05,WNT7A,WNT8B
ACE+ATP12A,5.6878370804240706e-05,ACE,ATP12A
SCNN1D+UBA52,5.708184837413064e-05,SCNN1D,UBA52
CETN1+MCM3AP,5.709597586031024e-05,CETN1,MCM3AP
FZD1+VANGL1,5.759687584864766e-05,FZD1,VANGL1
BUB1+PLK4,5.833790566586456e-05,BUB1,PLK4
DTL+RBX1,5.8487342981459034e-05,DTL,RBX1
DDX20+LSM11,5.8767999839591405e-05,DDX20,LSM11
IFNL3+JAK1,5.880507922691147e-05,IFNL3,JAK1
ADORA1+GNAI2,5.883070906356212e-05,ADORA1,GNAI2
AGXT+IDE,5.8925986736574247e-05,AGXT,IDE
DENR+MCTS1,5.90049905621107e-05,DENR,MCTS1
LMAN1+TRAPPC2,5.9469301965109285e-05,LMAN1,TRAPPC2
CMPK1+CMPK2,5.949426049758595e-05,CMPK1,CMPK2
RPF2+WDR46,5.996274305117319e-05,RPF2,WDR46
MAPK8IP2+MIOX,6.001416491702136e-05,MAPK8IP2,MIOX
MAD2L1BP+PLK1,6.046968906162976e-05,MAD2L1BP,PLK1
ASPM+KIF14,6.059339165335845e-05,ASPM,KIF14
ASH2L+EP300,6.0994655407983256e-05,ASH2L,EP300
SMC1B+SYCE3,6.123197216731914e-05,SMC1B,SYCE3
DDX52+TTC27,6.126281095154059e-05,DDX52,TTC27
NCBP2L+TGS1,6.153533518913322e-05,NCBP2L,TGS1
TWIST2+ZEB1,6.183352058735907e-05,TWIST2,ZEB1
HJURP+TROAP,6.19617256543902e-05,HJURP,TROAP
NOS1AP+TCHP,6.239652206150605e-05,NOS1AP,TCHP
